stem,variant,system,dataset,target_recall,metric,count,avg_us,p50_us,p90_us,p99_us,max_us
a_flashanns_sift1b_ef120_pw2,,FlashANNS,sift1b,0.98,Compute,20,1988.994560,1951.716438,2175.511296,2414.615141,2414.615141
a_flashanns_sift1b_ef120_pw2,,FlashANNS,sift1b,0.98,IO wait,20,5864.747954,5322.998630,5926.423867,15904.722868,15904.722868
a_flashanns_sift1b_ef120_pw2,,FlashANNS,sift1b,0.98,Resume,20,802.401628,789.848864,894.576862,922.208056,922.208056
a_flashanns_sift1b_ef120_pw2,,FlashANNS,sift1b,0.98,CTA active %,20,67.818880,71.372800,75.628800,78.700800,78.700800
a_flashanns_sift1b_ef40_pw2,,FlashANNS,sift1b,0.88,Compute,20,1630.192134,1665.256958,1719.090411,1723.297057,1723.297057
a_flashanns_sift1b_ef40_pw2,,FlashANNS,sift1b,0.88,IO wait,20,7161.150923,6419.628919,6791.155924,24366.132920,24366.132920
a_flashanns_sift1b_ef40_pw2,,FlashANNS,sift1b,0.88,Resume,20,455.769218,456.552997,473.628701,493.506107,493.506107
a_flashanns_sift1b_ef40_pw2,,FlashANNS,sift1b,0.88,CTA active %,20,39.259840,38.604800,47.264000,71.942400,71.942400
a_flashanns_sift1b_ef45_pw2,,FlashANNS,sift1b,0.90,Compute,20,1626.357389,1643.941130,1687.867685,1697.255837,1697.255837
a_flashanns_sift1b_ef45_pw2,,FlashANNS,sift1b,0.90,IO wait,20,6410.979797,5889.284726,6253.102588,16611.832493,16611.832493
a_flashanns_sift1b_ef45_pw2,,FlashANNS,sift1b,0.90,Resume,20,479.677795,472.390961,501.580204,587.948029,587.948029
a_flashanns_sift1b_ef45_pw2,,FlashANNS,sift1b,0.90,CTA active %,20,43.311040,46.547200,56.070400,56.115200,56.115200
a_flashanns_sift1b_ef55_pw2,,FlashANNS,sift1b,0.92,Compute,20,1880.514883,1876.766136,1973.186867,2002.728026,2002.728026
a_flashanns_sift1b_ef55_pw2,,FlashANNS,sift1b,0.92,IO wait,20,7255.401366,6562.287993,7018.086822,21797.862233,21797.862233
a_flashanns_sift1b_ef55_pw2,,FlashANNS,sift1b,0.92,Resume,20,540.266021,541.310169,562.635613,585.252651,585.252651
a_flashanns_sift1b_ef55_pw2,,FlashANNS,sift1b,0.92,CTA active %,20,43.309440,46.342400,50.233600,54.739200,54.739200
a_flashanns_sift1b_ef65_pw2,,FlashANNS,sift1b,0.94,Compute,20,1902.383097,1898.468985,2244.244729,2470.376153,2470.376153
a_flashanns_sift1b_ef65_pw2,,FlashANNS,sift1b,0.94,IO wait,20,7685.622714,6201.544821,12390.166330,28943.831994,28943.831994
a_flashanns_sift1b_ef65_pw2,,FlashANNS,sift1b,0.94,Resume,20,608.882635,592.740566,779.050025,814.525419,814.525419
a_flashanns_sift1b_ef65_pw2,,FlashANNS,sift1b,0.94,CTA active %,20,48.957120,52.019200,59.654400,66.105600,66.105600
a_flashanns_sift1b_ef80_pw2,,FlashANNS,sift1b,0.96,Compute,20,1781.595454,1770.044773,1941.208119,1943.550153,1943.550153
a_flashanns_sift1b_ef80_pw2,,FlashANNS,sift1b,0.96,IO wait,20,6206.713708,5279.322016,6054.791125,23414.446436,23414.446436
a_flashanns_sift1b_ef80_pw2,,FlashANNS,sift1b,0.96,Resume,20,660.503608,657.497450,728.118614,732.028100,732.028100
a_flashanns_sift1b_ef80_pw2,,FlashANNS,sift1b,0.96,CTA active %,20,58.625600,60.883200,66.617600,70.451200,70.451200
a_plusS_pq_in_smem_sift1b_q2_ef120_pw2,,plusk_pq_in_smem,sift1b,0.98,Compute,200,2818.078575,2810.806242,2930.181928,3082.634625,3106.632359
a_plusS_pq_in_smem_sift1b_q2_ef120_pw2,,plusk_pq_in_smem,sift1b,0.98,IO wait,200,7894.580188,7899.449590,8378.439450,9214.619924,12183.833700
a_plusS_pq_in_smem_sift1b_q2_ef120_pw2,,plusk_pq_in_smem,sift1b,0.98,Resume,200,37.293236,37.572019,42.528913,49.984401,54.959153
a_plusS_pq_in_smem_sift1b_q2_ef40_pw2,,plusk_pq_in_smem,sift1b,0.88,Compute,200,1283.581956,1263.047393,1386.828067,1695.359908,2077.212976
a_plusS_pq_in_smem_sift1b_q2_ef40_pw2,,plusk_pq_in_smem,sift1b,0.88,IO wait,200,4278.813097,4173.008827,4656.172553,5681.864000,12677.452451
a_plusS_pq_in_smem_sift1b_q2_ef40_pw2,,plusk_pq_in_smem,sift1b,0.88,Resume,200,33.539666,33.121500,40.473815,57.232418,65.839407
a_plusS_pq_in_smem_sift1b_q2_ef45_pw2,,plusk_pq_in_smem,sift1b,0.90,Compute,200,1629.558691,1616.373206,1766.446016,2131.805335,2491.799308
