stem,variant,system,dataset,ef,target_recall,num_blocks,mini_batch,queries_per_block,pipe_width,qps,avg_ms,p50_ms,p90_ms,p99_ms,p999_ms,max_ms,latency_kind
a_flashanns_sift1b_ef120_pw2,,FlashANNS,sift1b,120,0.98,108,0,0,2,13140.373901,8.180874,8.100986,8.584976,9.078979,9.293079,19.675970,BatchLatency(ms)
a_flashanns_sift1b_ef40_pw2,,FlashANNS,sift1b,40,0.88,540,0,0,2,62648.080126,8.565705,8.464098,8.928061,9.487867,26.696205,26.696205,BatchLatency(ms)
a_flashanns_sift1b_ef45_pw2,,FlashANNS,sift1b,45,0.90,432,0,0,2,53292.532052,8.067701,7.982016,8.502960,8.770943,19.237041,19.237041,BatchLatency(ms)
a_flashanns_sift1b_ef55_pw2,,FlashANNS,sift1b,55,0.92,432,0,0,2,47604.051976,9.036716,8.982897,9.457111,9.730101,24.518013,24.518013,BatchLatency(ms)
a_flashanns_sift1b_ef65_pw2,,FlashANNS,sift1b,65,0.94,324,0,0,2,34830.468505,9.252042,8.708000,10.218143,15.622139,31.824112,31.824112,BatchLatency(ms)
a_flashanns_sift1b_ef80_pw2,,FlashANNS,sift1b,80,0.96,216,0,0,2,27739.566440,7.749157,7.667065,8.204937,8.793116,26.384115,26.384115,BatchLatency(ms)
a_plusS_pq_in_smem_sift1b_q2_ef120_pw2,,Strawman PQ-in-shared-memory (PQ LUT in shared memory),sift1b,120,0.98,108,0,2,2,20962.965538,10.294552,10.285854,10.455847,10.605812,14.001846,24.092913,QueryLatency(ms)
a_plusS_pq_in_smem_sift1b_q2_ef40_pw2,,Strawman PQ-in-shared-memory (PQ LUT in shared memory),sift1b,40,0.88,324,0,2,2,80170.858209,8.057583,8.036852,8.174896,8.411884,16.360998,20.071983,QueryLatency(ms)
a_plusS_pq_in_smem_sift1b_q2_ef45_pw2,,Strawman PQ-in-shared-memory (PQ LUT in shared memory),sift1b,45,0.90,216,0,2,2,68571.135230,6.283646,6.268024,6.378174,6.523848,12.812138,14.348984,QueryLatency(ms)
a_plusS_pq_in_smem_sift1b_q2_ef55_pw2,,Strawman PQ-in-shared-memory (PQ LUT in shared memory),sift1b,55,0.92,216,0,2,2,60976.146593,7.068596,7.048130,7.148981,7.263899,15.017033,17.780066,QueryLatency(ms)
a_plusS_pq_in_smem_sift1b_q2_ef65_pw2,,Strawman PQ-in-shared-memory (PQ LUT in shared memory),sift1b,65,0.94,216,0,2,2,48938.714187,8.808673,8.679152,8.810997,13.037920,20.338058,33.380032,QueryLatency(ms)
a_plusS_pq_in_smem_sift1b_q2_ef80_pw2,,Strawman PQ-in-shared-memory (PQ LUT in shared memory),sift1b,80,0.96,108,0,2,2,30696.116458,7.028242,7.013083,7.128000,7.265091,10.607004,18.505096,QueryLatency(ms)
a_quiver_sift1b_q1_ef120_pw2,,Quiver,sift1b,120,0.98,216,0,1,2,24694.119643,8.379428,8.283138,8.391142,8.510828,16.153097,418.846846,QueryLatency(ms)
a_quiver_sift1b_q1_ef80_pw2,,Quiver,sift1b,80,0.96,324,0,1,2,41317.149231,7.286612,7.116079,7.229090,7.426023,35.386086,434.219122,QueryLatency(ms)
a_quiver_sift1b_q2_ef40_pw2,,Quiver,sift1b,40,0.88,324,0,2,2,84279.547495,7.659624,7.534981,7.855892,9.742022,16.022921,19.073963,QueryLatency(ms)
a_quiver_sift1b_q2_ef45_pw2,,Quiver,sift1b,45,0.90,432,0,2,2,91253.782656,9.429040,9.382963,9.548903,10.040998,17.168045,22.131205,QueryLatency(ms)
a_quiver_sift1b_q2_ef55_pw2,,Quiver,sift1b,55,0.92,324,0,2,2,68725.074322,9.400865,9.377956,9.498835,9.786129,15.130997,22.488117,QueryLatency(ms)
a_quiver_sift1b_q2_ef65_pw2,,Quiver,sift1b,65,0.94,216,0,2,2,53701.859641,8.025246,8.038998,8.204937,8.368015,13.488770,20.440817,QueryLatency(ms)
b_flashanns_sift1b_nb756,,FlashANNS,sift1b,45,0.90,756,0,0,2,44364.390775,16.966676,13.170004,23.308039,24.183035,43.545008,43.545008,BatchLatency(ms)
b_gustann_sift1b_mb48,,GustANN,sift1b,45,0.90,0,48,0,1,50778.446535,35.533040,34.993172,39.881945,46.113014,47.353029,49.208879,BatchLatency(ms)
b_plusS_pq_in_smem_sift1b_q2_nb324,,Strawman PQ-in-shared-memory (PQ LUT in shared memory),sift1b,45,0.90,324,0,2,2,75363.033392,8.574043,8.548975,8.817196,9.672165,18.169880,22.665024,QueryLatency(ms)
b_quiver_sift1b_q2_nb216,,Quiver,sift1b,45,0.90,216,0,2,2,69688.787515,6.180152,6.160975,6.275892,6.490946,12.248039,16.119003,QueryLatency(ms)
