stem,variant,system,dataset,ef,target_recall,num_blocks,mini_batch,queries_per_block,pipe_width,qps,avg_ms,p50_ms,p90_ms,p99_ms,p999_ms,max_ms,latency_kind
flashanns_deep1b_ef70_pw2,,FlashANNS,deep1b,70,0.90,108,0,0,2,16996.895090,6.353551,6.266117,6.782055,7.703066,8.527040,18.769979,BatchLatency(ms)
flashanns_deep1b_ef70_pw2,,FlashANNS,deep1b,70,0.90,216,0,0,2,26841.552024,8.046544,7.940054,8.528948,9.454012,28.158903,28.158903,BatchLatency(ms)
flashanns_deep1b_ef70_pw2,,FlashANNS,deep1b,70,0.90,324,0,0,2,31893.262493,10.147099,10.045052,10.716200,11.590004,21.003008,21.003008,BatchLatency(ms)
flashanns_deep1b_ef70_pw2,,FlashANNS,deep1b,70,0.90,432,0,0,2,32051.544073,13.477193,13.365984,14.100075,15.188932,27.134180,27.134180,BatchLatency(ms)
flashanns_deep1b_ef70_pw2,,FlashANNS,deep1b,70,0.90,540,0,0,2,35731.423275,15.087071,14.975071,15.836000,16.672850,30.730009,30.730009,BatchLatency(ms)
flashanns_deep1b_ef70_pw2,,FlashANNS,deep1b,70,0.90,648,0,0,2,38892.163667,16.642124,16.496897,17.453909,18.450975,26.731014,26.731014,BatchLatency(ms)
flashanns_deep1b_ef70_pw2,,FlashANNS,deep1b,70,0.90,756,0,0,2,35663.568296,21.162111,21.045208,21.820068,23.043871,30.656815,30.656815,BatchLatency(ms)
flashanns_deep1b_ef70_pw2,,FlashANNS,deep1b,70,0.90,864,0,0,2,35371.966746,24.371505,24.275064,25.056839,26.731014,34.101963,34.101963,BatchLatency(ms)
flashanns_deep1b_ef70_pw2,,FlashANNS,deep1b,70,0.90,972,0,0,2,37527.907905,25.870710,25.762081,26.572943,27.251959,37.033081,37.033081,BatchLatency(ms)
flashanns_deep1b_ef70_pw2,,FlashANNS,deep1b,70,0.90,1080,0,0,2,36912.967178,29.129813,29.021025,29.909134,31.914949,45.211077,45.211077,BatchLatency(ms)
flashanns_sift1b_ef45_pw2,,FlashANNS,sift1b,45,0.90,108,0,0,2,24930.043131,4.331730,4.268885,4.702091,5.254984,5.994081,16.489983,BatchLatency(ms)
flashanns_sift1b_ef45_pw2,,FlashANNS,sift1b,45,0.90,216,0,0,2,41481.898182,5.206640,5.126953,5.656004,5.996943,26.029110,26.029110,BatchLatency(ms)
flashanns_sift1b_ef45_pw2,,FlashANNS,sift1b,45,0.90,324,0,0,2,52867.114639,6.121444,6.052971,6.572008,6.882191,17.885208,17.885208,BatchLatency(ms)
flashanns_sift1b_ef45_pw2,,FlashANNS,sift1b,45,0.90,432,0,0,2,59516.830449,7.257838,7.159948,7.709980,7.946014,22.881031,22.881031,BatchLatency(ms)
flashanns_sift1b_ef45_pw2,,FlashANNS,sift1b,45,0.90,540,0,0,2,63828.021971,8.445858,8.372068,8.847952,9.095192,19.792080,19.792080,BatchLatency(ms)
flashanns_sift1b_ef45_pw2,,FlashANNS,sift1b,45,0.90,648,0,0,2,68439.871674,9.457182,9.367943,9.861946,10.092020,20.398140,20.398140,BatchLatency(ms)
flashanns_sift1b_ef45_pw2,,FlashANNS,sift1b,45,0.90,756,0,0,2,60716.082270,12.430250,12.297869,13.010979,13.783932,28.551102,28.551102,BatchLatency(ms)
flashanns_sift1b_ef45_pw2,,FlashANNS,sift1b,45,0.90,864,0,0,2,66385.585084,12.985744,12.917042,13.389826,14.034986,25.050163,25.050163,BatchLatency(ms)
flashanns_sift1b_ef45_pw2,,FlashANNS,sift1b,45,0.90,972,0,0,2,65907.217252,14.730893,14.614105,15.182018,15.510798,31.816006,31.816006,BatchLatency(ms)
flashanns_sift1b_ef45_pw2,,FlashANNS,sift1b,45,0.90,1080,0,0,2,70167.804162,15.324227,15.170097,15.853882,17.414093,28.137922,28.137922,BatchLatency(ms)
gustann_deep1b_ef70_pw1,,GustANN,deep1b,70,0.90,0,16,0,1,24904.617892,25.526856,25.463820,29.116154,33.823967,42.195082,44.577122,BatchLatency(ms)
gustann_deep1b_ef70_pw1,,GustANN,deep1b,70,0.90,0,24,0,1,36276.242855,26.333742,25.255919,30.173063,34.885168,42.640209,44.718981,BatchLatency(ms)
gustann_deep1b_ef70_pw1,,GustANN,deep1b,70,0.90,0,32,0,1,42894.662374,29.683521,29.165030,32.266140,38.764000,44.362068,48.640013,BatchLatency(ms)
gustann_deep1b_ef70_pw1,,GustANN,deep1b,70,0.90,0,48,0,1,49059.216756,38.873940,38.155794,42.971849,50.612926,56.270123,59.689999,BatchLatency(ms)
gustann_deep1b_ef70_pw1,,GustANN,deep1b,70,0.90,0,64,0,1,45450.456254,55.957147,55.150032,61.491013,72.088957,79.290867,83.621025,BatchLatency(ms)
gustann_deep1b_ef70_pw1,,GustANN,deep1b,70,0.90,0,96,0,1,51266.790139,74.310867,73.309898,83.191156,96.641064,107.508898,109.187126,BatchLatency(ms)
gustann_deep1b_ef70_pw1,,GustANN,deep1b,70,0.90,0,128,0,1,51670.907279,97.877972,96.787930,108.706951,124.133825,140.293837,145.853996,BatchLatency(ms)
