stem,variant,system,dataset,ef,target_recall,num_blocks,mini_batch,queries_per_block,pipe_width,qps,avg_ms,p50_ms,p90_ms,p99_ms,p999_ms,max_ms,latency_kind
quiver_deep1b_ef70_q1_pw2_1ssd,,Quiver,deep1b,70,0.90,108,0,1,2,19427.089233,5.533727,5.517006,5.707979,5.922079,6.401062,52.289963,QueryLatency(ms)
quiver_deep1b_ef70_q1_pw2_1ssd,,Quiver,deep1b,70,0.90,216,0,1,2,22684.954910,9.279700,9.212971,9.794950,10.313034,21.770954,278.962851,QueryLatency(ms)
quiver_deep1b_ef70_q1_pw2_1ssd,,Quiver,deep1b,70,0.90,324,0,1,2,22563.118425,13.879605,13.731003,14.376879,15.001059,36.648989,383.765936,QueryLatency(ms)
quiver_deep1b_ef70_q2_pw2_1ssd,,Quiver,deep1b,70,0.90,216,0,2,2,23587.525803,18.293264,18.264055,19.096851,19.809008,22.731066,31.687975,QueryLatency(ms)
quiver_deep1b_ef70_q2_pw2_1ssd,,Quiver,deep1b,70,0.90,324,0,2,2,23587.600750,27.441326,27.370930,28.374195,29.824972,33.420086,49.083233,QueryLatency(ms)
quiver_deep1b_ef70_q2_pw2_1ssd,,Quiver,deep1b,70,0.90,432,0,2,2,23587.458815,36.584200,36.549807,37.777185,38.825035,45.534134,61.460972,QueryLatency(ms)
quiver_deep1b_ef70_q2_pw2_1ssd,,Quiver,deep1b,70,0.90,540,0,2,2,23605.154128,45.688228,45.719147,47.073126,48.464775,55.672884,69.764853,QueryLatency(ms)
quiver_deep1b_ef70_q2_pw2_1ssd,,Quiver,deep1b,70,0.90,648,0,2,2,23652.772910,54.708414,54.729939,56.401968,57.945013,64.674139,70.679188,QueryLatency(ms)
quiver_deep1b_ef70_q2_pw2_1ssd,,Quiver,deep1b,70,0.90,756,0,2,2,23626.842812,63.890306,64.022064,65.732002,67.370892,72.193146,90.248108,QueryLatency(ms)
quiver_deep1b_ef70_q2_pw2_1ssd,,Quiver,deep1b,70,0.90,864,0,2,2,23671.420699,72.869214,73.059082,74.796915,76.916933,86.323977,114.507914,QueryLatency(ms)
quiver_deep1b_ef70_q2_pw2_1ssd,,Quiver,deep1b,70,0.90,972,0,2,2,23668.202176,81.976495,82.191944,84.182978,85.752964,97.030878,130.254984,QueryLatency(ms)
quiver_deep1b_ef70_q3_pw2_1ssd,,Quiver,deep1b,70,0.90,864,0,3,2,23699.442558,109.096397,109.457970,111.805916,114.974022,135.226965,167.733192,QueryLatency(ms)
quiver_deep1b_ef70_q3_pw2_1ssd,,Quiver,deep1b,70,0.90,972,0,3,2,23756.423122,122.417852,122.839928,125.522137,127.689123,144.089937,199.203968,QueryLatency(ms)
quiver_deep1b_ef70_q4_pw2_1ssd,,Quiver,deep1b,70,0.90,864,0,4,2,23787.420752,144.828923,145.397902,148.354053,151.453018,176.648140,218.132019,QueryLatency(ms)
quiver_deep1b_ef70_q4_pw2_1ssd,,Quiver,deep1b,70,0.90,972,0,4,2,23791.473377,162.812819,163.909912,166.620970,169.461966,183.248043,200.568914,QueryLatency(ms)
quiver_sift1b_ef45_q1_pw2_1ssd,,Quiver,sift1b,45,0.90,108,0,1,2,31420.022138,3.420732,3.417015,3.597021,3.745079,4.089832,31.189919,QueryLatency(ms)
quiver_sift1b_ef45_q1_pw2_1ssd,,Quiver,sift1b,45,0.90,216,0,1,2,41616.527132,5.048435,4.965067,5.137205,6.304026,12.908936,153.427124,QueryLatency(ms)
quiver_sift1b_ef45_q1_pw2_1ssd,,Quiver,sift1b,45,0.90,324,0,1,2,42566.315141,7.301197,7.187843,7.344007,8.452892,22.263050,234.751940,QueryLatency(ms)
quiver_sift1b_ef45_q2_pw2_1ssd,,Quiver,sift1b,45,0.90,216,0,2,2,41666.780909,10.349405,10.335922,10.501146,10.680199,16.489983,21.808863,QueryLatency(ms)
quiver_sift1b_ef45_q2_pw2_1ssd,,Quiver,sift1b,45,0.90,324,0,2,2,52976.527630,12.204477,12.176037,12.349844,12.528896,25.467873,29.225826,QueryLatency(ms)
quiver_sift1b_ef45_q2_pw2_1ssd,,Quiver,sift1b,45,0.90,432,0,2,2,53031.576789,16.254656,16.246080,16.438007,16.626120,23.059130,28.568983,QueryLatency(ms)
quiver_sift1b_ef45_q2_pw2_1ssd,,Quiver,sift1b,45,0.90,540,0,2,2,53009.860965,20.323455,20.321131,20.541906,20.854950,32.433987,33.105850,QueryLatency(ms)
quiver_sift1b_ef45_q2_pw2_1ssd,,Quiver,sift1b,45,0.90,648,0,2,2,53029.987713,24.373776,24.381876,24.610043,24.829149,41.085958,43.276072,QueryLatency(ms)
quiver_sift1b_ef45_q2_pw2_1ssd,,Quiver,sift1b,45,0.90,756,0,2,2,53049.002520,28.426197,28.432846,28.707027,29.402018,38.866997,47.286034,QueryLatency(ms)
quiver_sift1b_ef45_q2_pw2_1ssd,,Quiver,sift1b,45,0.90,864,0,2,2,53109.211989,32.444631,32.456160,32.790899,33.933163,43.092966,44.415951,QueryLatency(ms)
quiver_sift1b_ef45_q2_pw2_1ssd,,Quiver,sift1b,45,0.90,972,0,2,2,53153.151212,36.461006,36.484003,36.830902,38.892984,48.054218,48.947096,QueryLatency(ms)
