stem,variant,system,dataset,target_recall,metric,count,avg_us,p50_us,p90_us,p99_us,max_us
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,0.90,Compute,20,2746.550319,2694.354423,3278.903961,3515.929540,3515.929540
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,0.90,IO wait,20,10741.764251,10668.051374,11296.504399,22168.000455,22168.000455
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,0.90,Resume,20,799.169123,732.132271,1092.251978,1216.676614,1216.676614
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,0.90,CTA active %,20,48.595840,48.742400,69.427200,70.860800,70.860800
quiver_sift1b_ef45_q2_nb216,,Quiver,sift1b,0.90,Compute,200,1262.255027,1246.096036,1366.793601,1928.952141,2160.115389
quiver_sift1b_ef45_q2_nb216,,Quiver,sift1b,0.90,IO wait,200,5256.361149,5199.563607,5752.112101,7788.484941,9518.038636
quiver_sift1b_ef45_q2_nb216,,Quiver,sift1b,0.90,Resume,200,40.313743,39.852470,51.255589,79.836964,93.749974
quiver_sift1b_ef45_q2_nb216,,Quiver,sift1b,0.90,CTA active %,134,92.151872,92.379252,92.746578,92.960950,93.030765
gustann_sift1b_ef45_mb1120,,GustANN,sift1b,0.90,Compute,20,8203.008025,8185.856029,9338.880010,10081.279967,10081.279967
gustann_sift1b_ef45_mb1120,,GustANN,sift1b,0.90,IO wait,20,436489.474773,462541.580200,479213.237762,492055.892944,492055.892944
gustann_sift1b_ef45_mb1120,,GustANN,sift1b,0.90,Resume,20,7.677078,7.152557,11.920929,13.113022,13.113022
gustann_sift1b_ef45_mb1120,,GustANN,sift1b,0.90,CTA active %,179,100.000000,100.000000,100.000000,100.000000,100.000000
