stem,variant,system,dataset,sample_id,hop,wait_us,compute_us
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,0,0,16342.016000,28.672000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,0,1,193.536000,40.960000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,0,2,253.952000,36.864000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,0,3,162.816000,30.720000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,0,4,151.552000,32.768000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,0,5,187.392000,37.888000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,0,6,189.440000,29.696000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,0,7,157.696000,37.888000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,0,8,285.696000,35.840000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,0,9,157.696000,34.816000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,0,10,162.816000,33.792000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,0,11,129.024000,36.864000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,0,12,154.624000,33.792000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,0,13,165.888000,34.816000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,0,14,189.440000,45.056000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,0,15,230.400000,36.864000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,0,16,172.032000,34.816000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,0,17,153.600000,30.720000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,0,18,176.128000,27.648000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,0,19,177.152000,24.576000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,0,20,227.328000,35.840000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,0,21,225.280000,20.480000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,0,22,174.080000,31.744000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,0,23,168.960000,31.744000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,0,24,195.584000,36.864000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,0,25,165.888000,37.888000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,0,26,229.376000,38.912000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,0,27,226.304000,37.888000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,0,28,113.664000,30.720000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,0,29,179.200000,38.912000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,0,30,171.008000,29.696000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,0,31,148.480000,34.816000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,0,32,226.304000,30.720000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,0,33,178.176000,43.008000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,0,34,106.496000,29.696000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,0,35,273.408000,36.864000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,0,36,189.440000,35.840000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,0,37,187.392000,34.816000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,0,38,102.400000,35.840000
