stem,variant,system,dataset,ef,target_recall,num_blocks,mini_batch,queries_per_block,pipe_width,qps,avg_ms,p50_ms,p90_ms,p99_ms,p999_ms,max_ms,latency_kind
flashanns_sift1b_ef45_pw2,,FlashANNS,sift1b,45,0.90,108,0,0,2,24930.043131,4.331730,4.268885,4.702091,5.254984,5.994081,16.489983,BatchLatency(ms)
flashanns_sift1b_ef45_pw2,,FlashANNS,sift1b,45,0.90,216,0,0,2,41481.898182,5.206640,5.126953,5.656004,5.996943,26.029110,26.029110,BatchLatency(ms)
flashanns_sift1b_ef45_pw2,,FlashANNS,sift1b,45,0.90,324,0,0,2,52867.114639,6.121444,6.052971,6.572008,6.882191,17.885208,17.885208,BatchLatency(ms)
flashanns_sift1b_ef45_pw2,,FlashANNS,sift1b,45,0.90,432,0,0,2,59516.830449,7.257838,7.159948,7.709980,7.946014,22.881031,22.881031,BatchLatency(ms)
flashanns_sift1b_ef45_pw2,,FlashANNS,sift1b,45,0.90,540,0,0,2,63828.021971,8.445858,8.372068,8.847952,9.095192,19.792080,19.792080,BatchLatency(ms)
flashanns_sift1b_ef45_pw2,,FlashANNS,sift1b,45,0.90,648,0,0,2,68439.871674,9.457182,9.367943,9.861946,10.092020,20.398140,20.398140,BatchLatency(ms)
flashanns_sift1b_ef45_pw2,,FlashANNS,sift1b,45,0.90,756,0,0,2,60716.082270,12.430250,12.297869,13.010979,13.783932,28.551102,28.551102,BatchLatency(ms)
flashanns_sift1b_ef45_pw2,,FlashANNS,sift1b,45,0.90,864,0,0,2,66385.585084,12.985744,12.917042,13.389826,14.034986,25.050163,25.050163,BatchLatency(ms)
flashanns_sift1b_ef45_pw2,,FlashANNS,sift1b,45,0.90,972,0,0,2,65907.217252,14.730893,14.614105,15.182018,15.510798,31.816006,31.816006,BatchLatency(ms)
flashanns_sift1b_ef45_pw2,,FlashANNS,sift1b,45,0.90,1080,0,0,2,70167.804162,15.324227,15.170097,15.853882,17.414093,28.137922,28.137922,BatchLatency(ms)
gustann_sift1b_ef45_pw1,,GustANN,sift1b,45,0.90,0,16,0,1,42661.150887,14.923813,14.566898,16.489983,20.423174,30.447006,36.384106,BatchLatency(ms)
gustann_sift1b_ef45_pw1,,GustANN,sift1b,45,0.90,0,24,0,1,57124.560242,16.719751,16.505003,18.252134,20.847082,22.018194,25.375128,BatchLatency(ms)
gustann_sift1b_ef45_pw1,,GustANN,sift1b,45,0.90,0,32,0,1,68985.404986,18.402682,18.046141,20.573139,23.643017,26.479959,29.720068,BatchLatency(ms)
gustann_sift1b_ef45_pw1,,GustANN,sift1b,45,0.90,0,48,0,1,75784.559067,25.094373,24.814844,27.481079,30.729055,33.870935,37.596941,BatchLatency(ms)
gustann_sift1b_ef45_pw1,,GustANN,sift1b,45,0.90,0,64,0,1,84524.314647,29.929722,29.617071,32.788992,36.163807,38.011074,41.934967,BatchLatency(ms)
gustann_sift1b_ef45_pw1,,GustANN,sift1b,45,0.90,0,96,0,1,82719.519701,45.836748,45.364857,50.225019,54.982901,60.178041,62.177896,BatchLatency(ms)
gustann_sift1b_ef45_pw1,,GustANN,sift1b,45,0.90,0,128,0,1,94282.211794,53.392952,52.611828,59.133053,65.445185,71.032047,74.312925,BatchLatency(ms)
gustann_sift1b_ef45_pw1,,GustANN,sift1b,45,0.90,0,192,0,1,108189.986832,69.542746,69.005013,76.295853,81.938028,84.661007,84.753990,BatchLatency(ms)
quiver_sift1b_ef45_q1_pw2,,Quiver,sift1b,45,0.90,108,0,1,2,38376.909791,2.787814,2.777100,2.855062,2.936125,5.413771,49.810171,QueryLatency(ms)
quiver_sift1b_ef45_q1_pw2,,Quiver,sift1b,45,0.90,216,0,1,2,62673.331912,3.285800,3.237009,3.309011,3.397942,12.968063,176.668167,QueryLatency(ms)
quiver_sift1b_ef45_q1_pw2,,Quiver,sift1b,45,0.90,324,0,1,2,74470.975248,4.087166,3.988981,4.065990,4.193783,20.080090,210.149050,QueryLatency(ms)
quiver_sift1b_ef45_q2_pw2,,Quiver,sift1b,45,0.90,216,0,2,2,74639.340517,5.769268,5.749941,5.852938,6.056070,11.826992,14.750957,QueryLatency(ms)
quiver_sift1b_ef45_q2_pw2,,Quiver,sift1b,45,0.90,324,0,2,2,83187.059142,7.760445,7.655144,8.025885,8.269072,15.591145,16.773939,QueryLatency(ms)
quiver_sift1b_ef45_q2_pw2,,Quiver,sift1b,45,0.90,432,0,2,2,97806.976275,8.795094,8.755922,8.884907,9.088039,18.202066,19.118071,QueryLatency(ms)
quiver_sift1b_ef45_q2_pw2,,Quiver,sift1b,45,0.90,540,0,2,2,95127.474391,11.304552,11.253834,11.416912,12.570143,19.270182,23.712158,QueryLatency(ms)
quiver_sift1b_ef45_q2_pw2,,Quiver,sift1b,45,0.90,648,0,2,2,92886.904660,13.891206,13.865948,14.029026,14.279127,23.810148,27.042150,QueryLatency(ms)
quiver_sift1b_ef45_q2_pw2,,Quiver,sift1b,45,0.90,756,0,2,2,103793.123672,14.491134,14.446020,14.606953,15.140057,26.373863,30.688047,QueryLatency(ms)
quiver_sift1b_ef45_q2_pw2,,Quiver,sift1b,45,0.90,864,0,2,2,104530.940810,16.442856,16.361952,16.563892,18.812895,30.246973,30.769110,QueryLatency(ms)
quiver_sift1b_ef45_q2_pw2,,Quiver,sift1b,45,0.90,972,0,2,2,99289.671060,19.470549,19.380093,19.620180,23.343801,32.839060,34.382105,QueryLatency(ms)
