stem,variant,system,dataset,target_recall,metric,count,avg_us,p50_us,p90_us,p99_us,max_us
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,0.90,Compute,200,1503.124360,1403.550246,1623.602648,2621.120713,11758.255336
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,0.90,IO wait,200,3720.911040,3577.996726,4084.031020,6133.148668,10285.396042
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,0.90,Resume,200,22.674359,22.504079,28.008425,33.698619,34.789438
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,0.90,CTA active %,200,38.831298,38.533871,40.095817,41.465502,85.874710
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,0.90,Compute,200,1137.619829,1102.051183,1281.028368,1652.035654,2316.618684
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,0.90,IO wait,200,4739.240389,4544.446788,5373.168417,6674.675013,9849.030742
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,0.90,Resume,200,30.851782,30.543241,37.657611,51.699400,52.253565
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,0.90,CTA active %,200,50.209024,48.288000,62.566400,78.188800,78.905600
cta_quiver_sift1b_q4_ef45_pw1,cta,Quiver,sift1b,0.90,Compute,200,1109.808952,1097.700802,1161.700992,1552.565117,1638.307292
cta_quiver_sift1b_q4_ef45_pw1,cta,Quiver,sift1b,0.90,IO wait,200,7922.200656,7850.442664,8309.903259,11396.559359,16809.084811
cta_quiver_sift1b_q4_ef45_pw1,cta,Quiver,sift1b,0.90,Resume,200,33.692792,32.774220,39.112500,64.882460,70.593770
cta_quiver_sift1b_q4_ef45_pw1,cta,Quiver,sift1b,0.90,CTA active %,200,99.676864,100.000000,100.000000,100.000000,100.000000
cta_quiver_sift1b_q6_ef45_pw1,cta,Quiver,sift1b,0.90,Compute,200,1205.216201,1193.808816,1299.574981,1687.395813,1803.622218
cta_quiver_sift1b_q6_ef45_pw1,cta,Quiver,sift1b,0.90,IO wait,200,12933.539620,12773.088479,13386.799545,18955.231113,31345.873061
cta_quiver_sift1b_q6_ef45_pw1,cta,Quiver,sift1b,0.90,Resume,200,38.375699,38.029957,43.252685,58.042670,74.174003
cta_quiver_sift1b_q6_ef45_pw1,cta,Quiver,sift1b,0.90,CTA active %,200,100.000000,100.000000,100.000000,100.000000,100.000000
cta_quiver_sift1b_q8_ef45_pw1,cta,Quiver,sift1b,0.90,Compute,200,1232.361390,1217.933301,1332.104330,1784.788945,1916.944077
cta_quiver_sift1b_q8_ef45_pw1,cta,Quiver,sift1b,0.90,IO wait,200,17911.360666,17620.570983,18733.501087,26505.214632,27134.494638
cta_quiver_sift1b_q8_ef45_pw1,cta,Quiver,sift1b,0.90,Resume,200,50.220984,50.017317,58.542599,72.502252,74.660792
cta_quiver_sift1b_q8_ef45_pw1,cta,Quiver,sift1b,0.90,CTA active %,200,100.000000,100.000000,100.000000,100.000000,100.000000
