stem,variant,system,dataset,sample_i,cta_active_pct
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,0,40.713120
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,1,40.605958
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,2,40.674157
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,3,40.467062
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,4,40.160849
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,5,40.224413
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,6,38.967557
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,7,39.513177
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,8,38.583243
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,9,40.737327
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,10,38.660357
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,11,40.095817
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,12,39.486530
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,13,38.685869
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,14,39.323778
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,15,41.465502
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,16,40.107581
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,17,40.780142
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,18,39.100092
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,19,40.494647
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,20,40.846949
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,21,39.818676
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,22,40.973894
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,23,40.167970
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,24,40.546256
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,25,39.712047
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,26,41.203852
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,27,39.751786
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,28,40.966872
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,29,38.771017
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,30,39.507874
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,31,38.011210
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,32,38.810378
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,33,39.558105
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,34,39.290868
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,35,39.257294
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,36,38.484666
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,37,37.276127
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,38,38.303553
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,39,37.065787
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,40,38.868464
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,41,39.668394
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,42,38.550420
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,43,38.142292
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,44,37.772746
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,45,38.764274
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,46,38.544860
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,47,37.811663
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,48,37.877965
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,49,38.101110
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,50,39.109829
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,51,37.291280
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,52,38.164046
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,53,38.320642
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,54,38.533871
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,55,37.460409
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,56,38.553446
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,57,37.548999
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,58,38.975548
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,59,38.501999
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,60,38.832176
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,61,37.533563
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,62,39.112140
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,63,36.836585
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,64,38.376156
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,65,38.689389
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,66,38.567941
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,67,37.531633
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,68,39.031517
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,69,36.137392
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,70,38.400501
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,71,37.494772
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,72,38.879968
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,73,39.395846
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,74,38.508808
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,75,38.450169
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,76,39.472565
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,77,38.915437
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,78,39.014675
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,79,37.515528
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,80,37.492176
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,81,38.940425
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,82,37.940323
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,83,38.688252
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,84,38.936257
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,85,39.182141
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,86,39.329149
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,87,38.923655
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,88,37.610248
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,89,38.119954
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,90,38.089395
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,91,38.971943
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,92,38.482729
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,93,39.318226
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,94,39.218186
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,95,38.523941
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,96,37.542230
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,97,38.868807
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,98,37.735086
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,99,40.000000
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,100,38.233465
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,101,38.526971
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,102,38.212766
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,103,37.714516
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,104,38.683305
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,105,37.758493
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,106,38.519576
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,107,39.192003
