stem,variant,system,dataset,ef,target_recall,num_blocks,mini_batch,queries_per_block,pipe_width,qps,avg_ms,p50_ms,p90_ms,p99_ms,p999_ms,max_ms,latency_kind
cta_quiver_sift1b_q1_ef45_pw1,cta,Quiver,sift1b,45,0.90,108,0,1,1,21993.458128,4.893413,4.800797,5.421162,5.644083,6.016016,33.058882,QueryLatency(ms)
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,45,0.90,108,0,2,1,38003.162805,5.674777,5.532026,5.700827,7.555008,14.185905,18.558025,QueryLatency(ms)
cta_quiver_sift1b_q4_ef45_pw1,cta,Quiver,sift1b,45,0.90,108,0,4,1,49033.405239,8.792825,8.766890,8.882046,9.094954,18.341064,23.829937,QueryLatency(ms)
cta_quiver_sift1b_q6_ef45_pw1,cta,Quiver,sift1b,45,0.90,108,0,6,1,46649.558249,13.861260,13.844013,14.057875,14.384031,29.274940,30.600071,QueryLatency(ms)
cta_quiver_sift1b_q8_ef45_pw1,cta,Quiver,sift1b,45,0.90,108,0,8,1,45514.965759,18.939497,18.891811,19.186020,19.868135,25.926113,33.626080,QueryLatency(ms)
flashanns_sift1b_ef45_pw2,,FlashANNS,sift1b,45,0.90,432,0,0,2,56426.546779,7.655320,7.555962,8.094072,8.470058,25.101900,25.101900,BatchLatency(ms)
flashanns_sift1b_ef55_pw2,,FlashANNS,sift1b,55,0.92,432,0,0,2,49954.167336,8.647181,8.592129,9.063005,9.321928,21.780968,21.780968,BatchLatency(ms)
flashanns_sift1b_ef65_pw2,,FlashANNS,sift1b,65,0.94,324,0,0,2,39355.675866,8.223034,8.174896,8.605003,9.009123,20.815134,20.815134,BatchLatency(ms)
flashanns_sift1b_ef80_pw2,,FlashANNS,sift1b,80,0.96,216,0,0,2,29618.489043,7.292103,7.211924,7.761002,8.346796,18.834114,18.834114,BatchLatency(ms)
quiver_sift1b_q1_ef45_pw2,,Quiver,sift1b,45,0.90,756,0,1,2,74662.186548,8.747562,8.514881,8.816004,9.860039,67.530155,406.367064,QueryLatency(ms)
quiver_sift1b_q1_ef55_pw2,,Quiver,sift1b,55,0.92,648,0,1,2,61008.288904,9.388671,9.203196,9.485006,10.075092,73.142052,432.755947,QueryLatency(ms)
quiver_sift1b_q1_ef65_pw2,,Quiver,sift1b,65,0.94,432,0,1,2,55472.730893,6.881837,6.587982,6.973028,7.138968,84.075928,511.490107,QueryLatency(ms)
quiver_sift1b_q1_ef80_pw2,,Quiver,sift1b,80,0.96,324,0,1,2,44145.461488,6.894837,6.783009,6.937027,7.063150,28.871059,351.678848,QueryLatency(ms)
quiver_sift1b_q2_ef45_pw2,,Quiver,sift1b,45,0.90,432,0,2,2,84711.449062,10.158666,10.154009,10.653973,11.101007,17.147779,22.055864,QueryLatency(ms)
quiver_sift1b_q2_ef55_pw2,,Quiver,sift1b,55,0.92,324,0,2,2,72042.971875,8.967964,8.936882,9.043217,9.289980,21.576881,22.928953,QueryLatency(ms)
quiver_sift1b_q2_ef65_pw2,,Quiver,sift1b,65,0.94,216,0,2,2,54119.849100,7.963293,7.938862,8.101940,8.301973,15.972853,19.181967,QueryLatency(ms)
quiver_sift1b_q2_ef80_pw2,,Quiver,sift1b,80,0.96,108,0,2,2,30510.781404,7.070496,7.063150,7.188082,7.313013,11.444092,14.002085,QueryLatency(ms)
quiver_sift1b_q3_ef45_pw2,,Quiver,sift1b,45,0.90,216,0,3,2,81009.145509,7.972944,7.933855,8.101940,8.555889,16.000986,19.664049,QueryLatency(ms)
quiver_sift1b_q3_ef55_pw2,,Quiver,sift1b,55,0.92,108,0,3,2,51015.697076,6.338052,6.325960,6.423950,6.527901,10.615110,16.554117,QueryLatency(ms)
quiver_sift1b_q3_ef65_pw2,,Quiver,sift1b,65,0.94,108,0,3,2,39444.868295,8.199180,8.188009,8.343935,8.507967,11.317968,19.621849,QueryLatency(ms)
quiver_sift1b_q4_ef45_pw2,,Quiver,sift1b,45,0.90,108,0,4,2,53214.711444,8.100311,8.080006,8.201122,8.342981,13.797045,21.000147,QueryLatency(ms)
quiver_sift1b_q4_ef55_pw2,,Quiver,sift1b,55,0.92,108,0,4,2,47235.416517,9.126725,9.109020,9.217024,9.354830,13.349056,21.569014,QueryLatency(ms)
quiver_sift1b_q4_ef65_pw2,,Quiver,sift1b,65,0.94,108,0,4,2,39670.827877,10.869871,10.854006,11.011124,11.242867,16.470909,20.772934,QueryLatency(ms)
